client_id,product_line,product_hierarchy,destination_country,month,volume,revenue_sek,gross_profit_sek
CLT0001,Verification,Data Verification,United Kingdom,2023-01,1538528,123082.24,55702.67
CLT0001,Verification,Data Verification,United Kingdom,2023-01,1581916,126553.28,45169.17
CLT0001,Verification,Data Verification,United Kingdom,2023-03,1628441,130275.28,63799.36
CLT0001,Verification,Data Verification,United Kingdom,2023-04,1762841,141027.28,83117.66
CLT0001,Verification,Data Verification,United Kingdom,2023-05,1790382,143230.56,65202.8
CLT0001,Verification,Data Verification,United Kingdom,2023-05,1845160,147612.8,79558.0
CLT0001,Verification,Data Verification,United Kingdom,2023-06,1925888,154071.04,77621.32
CLT0001,Verification,Data Verification,United Kingdom,2023-07,1977693,158215.44,67336.1
CLT0001,Verification,Data Verification,United Kingdom,2023-08,1980813,158465.04,65075.48
CLT0001,Verification,Data Verification,United Kingdom,2023-09,2034689,162775.12,77814.92
CLT0001,Verification,Data Verification,United Kingdom,2023-10,2161614,172929.12,66027.57
CLT0001,Verification,Data Verification,United Kingdom,2023-11,2114868,169189.44,82195.17
CLT0001,SMS,P2P SMS,Ireland,2023-01,3918786,156751.44,56960.97
CLT0001,SMS,P2P SMS,Ireland,2023-01,4010648,160425.92,90043.35
CLT0001,SMS,P2P SMS,Ireland,2023-03,4408697,176347.88,67273.89
CLT0001,SMS,P2P SMS,Ireland,2023-04,4366897,174675.88,90398.23
CLT0001,SMS,P2P SMS,Ireland,2023-05,4493927,179757.08,83713.22
CLT0001,SMS,P2P SMS,Ireland,2023-05,4792929,191717.16,103670.84
CLT0001,SMS,P2P SMS,Ireland,2023-06,5339645,213585.8,102414.83
CLT0001,SMS,P2P SMS,Ireland,2023-07,5600307,224012.28,125401.96
CLT0001,SMS,P2P SMS,Ireland,2023-08,5764050,230562.0,85576.49
CLT0001,SMS,P2P SMS,Ireland,2023-09,6494312,259772.48,108466.37
CLT0001,SMS,P2P SMS,Ireland,2023-10,6452266,258090.64,153962.26
CLT0001,SMS,P2P SMS,Ireland,2023-11,6216720,248668.8,93689.01
CLT0001,Voice,Voice API,Ireland,2023-01,978726,117447.12,49638.35
CLT0001,Voice,Voice API,Ireland,2023-01,955956,114714.72,53958.02
CLT0001,Voice,Voice API,Ireland,2023-03,913863,109663.56,47465.34
CLT0001,Voice,Voice API,Ireland,2023-04,936848,112421.76,41058.25
CLT0001,Voice,Voice API,Ireland,2023-05,943003,113160.36,60554.17
CLT0001,Voice,Voice API,Ireland,2023-05,918725,110247.0,57174.45
CLT0001,Voice,Voice API,Ireland,2023-06,868751,104250.12,55757.22
